River System,Date_P,pH,pH_MovingAverage,Date_T,TDS,Date_S,S,S_MovingAverage,S_Flow_CFS,Date_C,Cl,Cl_MovingAverage,Cl_Flow_CFS                
Monongahela,3/27/2000,7.4,7.36,3/27/2000,175,3/27/2000,60,87.2,13500,3/27/2000_C,16,19.4,13500
Monongahela,5/15/2000,7.6,7.26,5/15/2000,260,5/15/2000,95,77.6,4540,5/15/2000,20,18.6,4540
Monongahela,7/20/2000,7.11,7.28,7/20/2000,246,7/20/2000,87,82.8,10500,7/20/2000,21,22,10500
Monongahela,9/13/2000,6.91,7.28,9/13/2000,234,9/13/2000,73,83.0,6530,9/13/2000,20,23.6,6530
Monongahela,11/29/2000,7.4,7.20,11/29/2000,331,11/29/2000,99,78.2,8010,11/29/2000,33,24.8,8010
Monongahela,1/2/2001,7.4,7.25,1/2/2001,225,1/2/2001,61,85.6,9610,1/2/2001,24,23.8,9610
Monongahela,3/15/2001,7.2,7.35,3/15/2001,252,3/15/2001,71,89.1,16110,3/15/2001,26,23.16,16110
Monongahela,5/24/2001,7.35,7.33,5/24/2001,260,5/24/2001,124,91.3,9252,5/24/2001,16,21.76,9252
Monongahela,7/10/2001,7.4,7.33,7/10/2001,234,7/10/2001,90.5,107.1,10132,7/10/2001,16.8,22.76,10132
Monongahela,9/19/2001,7.3,7.33,11/14/2001,329,9/19/2001,110,108.3,3037,9/19/2001,26,22.36,3037
Monongahela,11/14/2001,7.4,7.28,1/17/2002,185,11/14/2001,140,98.3,2203,11/14/2001,29,22.76,2203
Monongahela,1/17/2002,7.2,7.24,3/21/2002,164,1/17/2002,77,93.2,25506,1/17/2002,24,21.6,25506
Monongahela,3/21/2002,7.1,7.30,5/13/2002,167,3/21/2002,74,97.8,8186,3/21/2002,18,19.8,8186
Monongahela,5/13/2002,7.2,7.32,7/18/2002,284,5/13/2002,65,95.2,7903,5/13/2002,11,21.2,7903
Monongahela,7/18/2002,7.6,7.40,9/23/2002,335,7/18/2002,133,95.2,5313,7/18/2002,17,18.4,5313
Monongahela,9/23/2002,7.5,7.44,11/20/2002,173,9/23/2002,127,92.0,2367,9/23/2002,36,22.2,2367
Monongahela,11/20/2002,7.6,7.48,1/16/2003,142,11/20/2002,77,89.4,13780,11/20/2002,10,23.8,13780
Monongahela,1/16/2003,7.3,7.44,3/12/2003,176,1/16/2003,58,74.4,15968,1/16/2003,37,24.4,15968
Monongahela,3/12/2003,7.4,7.40,5/7/2003,280,3/12/2003,52,57.0,29255,3/12/2003,19,21.2,29255
Monongahela,5/7/2003,7.4,7.28,7/16/2003,165,5/7/2003,58,48.8,23613,5/7/2003,20,27.8,23613
Monongahela,7/16/2003,7.28,7.20,9/24/2003,128,7/16/2003,40,48.8,10294,7/16/2003,20,22.6,10294
Monongahela,9/24/2003,7,7.20,11/12/2003,178,9/24/2003,36,51.4,17210,9/24/2003,43,22,17210
Monongahela,11/12/2003,6.9,7.22,1/13/2004,207,11/12/2003,58,53.6,31507,11/12/2003,11,23.4,31507
Monongahela,1/13/2004,7.44,7.18,3/17/2004,219,1/13/2004,65,69.6,21619,1/13/2004,16,26.4,21619
